source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD041421-Sample-4	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	1	cell line	run5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot2-37_1_9898.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	5	N20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot2-37_1_9898.d.zip	K562
PXD041421-Sample-4	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	1	cell line	run6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot2-37_1_9899.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	6	N20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot2-37_1_9899.d.zip	K562
PXD041421-Sample-4	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	1	cell line	run7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot2-37_1_9900.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	7	N20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot2-37_1_9900.d.zip	K562
PXD041421-Sample-4	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	1	cell line	run8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot2-37_1_9901.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	8	N20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot2-37_1_9901.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot1-20_1_3202.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	1	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot1-20_1_3202.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot1-20_1_3203.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	2	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot1-20_1_3203.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot1-20_1_3204.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	3	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot1-20_1_3204.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot1-20_1_3205.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	4	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot1-20_1_3205.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot2-38_1_9903.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	5	N20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot2-38_1_9903.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot2-38_1_9904.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	6	N20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot2-38_1_9904.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot2-38_1_9905.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	7	N20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot2-38_1_9905.d.zip	K562
PXD041421-Sample-5	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	2	cell line	run8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot2-38_1_9906.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	8	N20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot2-38_1_9906.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot1-21_1_3207.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	1	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot1-21_1_3207.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot1-21_1_3208.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	2	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot1-21_1_3208.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot1-21_1_3209.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	3	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot1-21_1_3209.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot1-21_1_3210.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	4	CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot1-21_1_3210.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot2-39_1_9908.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	5	N20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot2-39_1_9908.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot2-39_1_9909.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	6	N20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot2-39_1_9909.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot2-39_1_9910.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	7	N20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot2-39_1_9910.d.zip	K562
PXD041421-Sample-6	Homo sapiens	Pleural effusion	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	K562	CVCL_0004	cell line	53Y	adult	not available	not available	Female	3	cell line	run8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	1	Data-independent acquisition	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	not available	NT=CID;AC=MS:1000133	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/11/PXD041421/N20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot2-39_1_9911.d	20 ppm	100m/z-1700m/z	100m/z-1700m/z	20 ppm	8	N20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot2-39_1_9911.d.zip	K562
